component,current_km,current_months,condition_metric_value,health_status
Rear Brake Pad,15111.29,22.66,4.37,0
Spark Plug,113414.1,15.44,0.56,2
Spark Plug,56434.62,33.03,7.38,2
CVT/AT Oil,56201.28,44.66,101.33,2
Rear Brake Pad,44705.14,32.4,1.63,2
Rear Brake Pad,48493.74,24.09,5.08,0
Ignition Coil,128665.92,78.87,6.15,2
Gearbox Filter,38041.82,46.91,27.2,0
Front Brake Pad,47559.56,3.57,8.18,2
CVT/AT Oil,43662.57,3.97,26.73,2
Rear Brake Pad,39341.18,38.09,5.11,2
Rear Brake Pad,53801.62,0.8,3.18,0
Front Brake Pad,62412.77,3.74,3.49,2
Spark Plug,101606.64,22.22,7.44,2
Gearbox,1025.23,8.6,17.37,2
Rear Brake Pad,79066.55,3.86,0.29,2
Rear Brake Pad,65465.76,20.02,1.66,2
Ignition Coil,8965.42,28.48,0.78,0
Front Brake Pad,39771.79,22.55,4.84,0
Spark Plug,11269.2,47.48,2.38,1
Spark Plug,112821.13,54.87,7.29,2
Front Brake Pad,23836.8,34.21,5.21,2
Rear Brake Pad,21809.32,36.65,2.08,2
Gearbox Filter,89716.4,19.28,89.38,2
Gearbox Filter,33522.2,32.81,18.59,0
Gearbox,8292.46,0.23,54.35,0
Rear Brake Pad,54946.18,19.67,1.89,2
CVT/AT Oil,8706.64,26.57,47.27,0
CVT/AT Oil,46629.67,12.37,63.2,2
Gearbox Filter,59082.44,1.33,87.35,2
Spark Plug,61859.7,18.83,5.42,2
Ignition Coil,100397.66,70.34,1.85,0
Front Brake Pad,2065.87,10.2,4.49,0
Gearbox Filter,63890.59,3.45,42.83,2
Gearbox Filter,22698.0,18.76,67.81,0
Gearbox Filter,31819.4,34.74,62.72,0
Spark Plug,59488.06,55.54,0.02,2
CVT/AT Oil,12836.03,0.31,36.11,2
Gearbox,11912.44,1.82,86.31,2
Gearbox Filter,82528.09,50.89,75.86,2
Ignition Coil,113866.79,25.08,10.77,2
Ignition Coil,61998.89,84.96,4.07,2
Gearbox Filter,63654.11,48.36,20.6,2
Ignition Coil,73527.73,37.66,9.16,2
Spark Plug,77375.23,29.58,3.94,1
CVT/AT Oil,56540.61,53.26,10.63,2
Gearbox,2489.92,2.71,48.54,0
Gearbox,9665.49,6.82,10.62,2
Front Brake Pad,17186.13,34.16,5.72,2
Rear Brake Pad,63027.57,10.89,3.87,2
Ignition Coil,24249.68,44.06,1.28,0
Spark Plug,83695.35,36.45,0.19,2
CVT/AT Oil,11054.97,5.75,116.31,0
Rear Brake Pad,10946.06,19.62,2.3,2
Front Brake Pad,53774.33,1.58,5.1,2
Front Brake Pad,43934.32,17.11,7.69,1
Spark Plug,95888.81,37.63,4.13,2
Front Brake Pad,57733.73,21.15,8.0,2
Ignition Coil,176238.61,76.89,5.92,2
Front Brake Pad,42245.44,28.57,2.53,2
CVT/AT Oil,6278.27,41.23,61.3,2
CVT/AT Oil,36366.58,51.28,40.74,2
Spark Plug,80750.14,31.14,6.13,2
Ignition Coil,6963.29,81.38,6.3,2
Ignition Coil,11851.59,67.19,7.02,0
Gearbox,11165.05,6.66,22.29,2
Gearbox Filter,48938.62,7.22,97.88,2
CVT/AT Oil,26150.42,30.02,48.62,0
Gearbox,7704.79,6.25,4.99,2
Gearbox,3516.73,6.58,23.12,2
Gearbox Filter,8270.65,60.08,37.88,2
Gearbox,2293.31,0.6,19.43,0
CVT/AT Oil,57349.85,43.22,80.16,2
Ignition Coil,142176.26,70.87,7.31,2
Gearbox Filter,14433.68,46.63,97.59,2
Gearbox Filter,20700.04,0.41,68.39,0
Spark Plug,106813.82,61.85,0.58,2
Ignition Coil,10839.67,8.8,7.72,0
Rear Brake Pad,64511.79,32.13,2.92,2
Gearbox,7215.28,3.73,9.6,0
Rear Brake Pad,37826.12,31.16,7.86,0
Gearbox Filter,2881.62,21.36,61.39,0
Gearbox Filter,17283.78,65.12,20.8,2
Ignition Coil,86533.36,0.32,2.91,0
Spark Plug,37325.0,23.04,2.55,0
CVT/AT Oil,49545.51,18.99,108.71,2
CVT/AT Oil,59980.39,9.26,92.59,2
Spark Plug,22458.26,2.35,7.09,2
Spark Plug,48428.45,50.57,4.18,2
Gearbox,9915.0,3.55,66.98,2
Ignition Coil,63703.05,96.28,1.99,2
Ignition Coil,164310.99,10.0,8.66,2
Front Brake Pad,26373.43,34.08,2.22,2
Gearbox,11102.24,4.03,84.38,2
Gearbox,4754.45,6.34,22.75,2
Front Brake Pad,39972.84,31.63,3.21,2
Front Brake Pad,46567.49,32.62,1.18,2
Ignition Coil,156609.93,73.27,7.93,2
CVT/AT Oil,41337.35,9.45,71.57,2
Rear Brake Pad,32350.05,50.04,6.29,2
CVT/AT Oil,53444.74,31.76,110.1,2
Spark Plug,70949.15,22.66,0.39,0
Rear Brake Pad,12652.63,46.96,6.08,2
Ignition Coil,64257.06,55.37,8.11,2
Ignition Coil,71145.74,50.36,10.33,2
Front Brake Pad,45253.05,33.53,3.58,2
Rear Brake Pad,80585.66,2.73,5.99,2
Spark Plug,58136.74,33.14,4.25,0
Spark Plug,55913.27,6.73,5.3,2
Gearbox,4093.76,0.02,37.41,0
Gearbox,1284.44,0.85,24.06,0
Front Brake Pad,17187.31,33.27,6.98,2
CVT/AT Oil,53230.12,14.0,14.68,2
Spark Plug,44204.94,51.34,0.3,2
Spark Plug,92729.3,12.12,5.76,2
Gearbox Filter,12004.31,47.13,84.24,2
Rear Brake Pad,53593.11,24.26,3.8,0
Gearbox Filter,33505.17,7.79,26.42,0
Gearbox,12918.74,7.32,3.01,2
Ignition Coil,39853.78,8.84,3.61,0
Ignition Coil,95822.59,28.91,10.94,2
CVT/AT Oil,57812.98,23.96,95.41,2
Ignition Coil,73479.93,29.57,1.58,0
CVT/AT Oil,3670.31,8.42,53.02,0
Spark Plug,45706.21,31.68,3.53,0
CVT/AT Oil,33600.24,24.32,77.6,0
Gearbox Filter,66749.47,52.88,49.41,2
Rear Brake Pad,42349.02,16.98,6.3,0
Gearbox Filter,65821.06,71.23,28.62,2
Gearbox,690.68,3.18,87.24,2
CVT/AT Oil,6244.56,42.62,63.88,2
Ignition Coil,161597.44,56.1,5.6,2
Spark Plug,3647.69,31.22,4.27,0
Gearbox Filter,73413.83,29.03,98.23,2
Gearbox Filter,39537.29,53.72,21.5,2
CVT/AT Oil,38775.15,1.88,106.67,1
Gearbox Filter,75198.2,28.74,47.03,2
Front Brake Pad,27709.87,31.18,6.68,2
Ignition Coil,122198.08,60.83,1.95,2
Ignition Coil,46077.29,71.35,4.37,1
Rear Brake Pad,69031.13,50.87,1.95,2
Front Brake Pad,1364.68,24.15,4.22,2
Gearbox,213.42,7.04,73.11,2
Gearbox,11092.87,3.9,21.56,2
Rear Brake Pad,16063.57,40.87,0.43,2
Gearbox,10081.58,2.27,29.23,2
Gearbox,178.57,4.49,31.5,0
Front Brake Pad,4163.42,7.51,4.37,0
Ignition Coil,151799.82,77.54,11.32,2
Ignition Coil,101102.65,64.06,4.47,0
CVT/AT Oil,58618.26,34.67,3.69,2
CVT/AT Oil,11966.42,34.23,68.29,0
Ignition Coil,120834.63,106.94,1.09,2
Front Brake Pad,62025.94,24.69,6.7,2
Front Brake Pad,10358.34,7.44,5.59,0
Spark Plug,22640.67,40.97,5.55,2
Gearbox Filter,43925.41,67.76,23.85,2
Gearbox Filter,73753.26,54.82,103.74,2
Gearbox Filter,82392.57,55.92,23.97,2
Rear Brake Pad,82036.38,53.89,1.63,2
Ignition Coil,119003.51,4.75,10.04,2
CVT/AT Oil,3414.09,2.83,51.29,0
Front Brake Pad,29786.93,2.36,3.61,0
Ignition Coil,88843.1,75.23,3.25,2
Ignition Coil,126472.88,101.82,3.2,2
Rear Brake Pad,35449.62,16.11,5.92,0
Gearbox Filter,56495.95,13.45,53.57,1
Rear Brake Pad,41648.39,29.37,6.04,0
Front Brake Pad,15590.23,31.47,1.54,2
CVT/AT Oil,40101.91,12.32,38.08,2
Gearbox Filter,31602.93,26.0,89.48,2
Spark Plug,116517.04,70.78,4.35,2
Rear Brake Pad,29565.81,51.43,0.22,2
CVT/AT Oil,53747.93,14.83,32.77,2
Spark Plug,65503.13,24.35,1.88,0
Gearbox,13423.66,6.07,18.4,2
Front Brake Pad,59504.25,19.18,6.83,2
Gearbox,9965.31,2.21,78.01,2
Gearbox Filter,25348.77,43.51,85.76,2
Front Brake Pad,4666.5,5.31,6.25,0
Front Brake Pad,42776.91,8.0,0.48,2
Gearbox,5134.61,3.96,63.64,2
Front Brake Pad,61064.28,17.1,2.02,2
Ignition Coil,7620.29,1.21,5.5,0
Spark Plug,37055.04,29.53,2.61,0
Front Brake Pad,13342.79,19.75,1.04,2
Front Brake Pad,3451.39,34.35,1.28,2
Rear Brake Pad,42609.14,43.33,6.63,2
Gearbox Filter,41838.38,68.51,99.21,2
Ignition Coil,131618.49,71.75,1.57,2
CVT/AT Oil,56825.25,32.56,69.49,2
Gearbox Filter,61602.76,1.38,74.22,2
CVT/AT Oil,26555.34,6.19,100.43,0
Front Brake Pad,55781.92,9.43,6.2,2
Gearbox,10946.59,1.48,50.92,2
Ignition Coil,32081.96,92.79,4.84,2
Ignition Coil,153144.47,55.08,8.63,2
CVT/AT Oil,21787.72,51.39,113.56,2
Front Brake Pad,56867.27,21.48,6.52,2
Ignition Coil,787.32,29.58,7.17,0
Gearbox,2000.83,0.99,82.99,2
Rear Brake Pad,28804.98,2.01,3.25,0
Gearbox,11376.84,3.35,21.97,2
Rear Brake Pad,7870.42,30.13,2.28,2
Spark Plug,110607.29,67.17,1.81,2
Ignition Coil,78159.35,14.6,3.27,0
Front Brake Pad,50240.5,16.81,2.05,2
Gearbox,5751.94,2.82,34.25,0
Front Brake Pad,46482.48,10.16,4.33,2
Gearbox,8972.12,3.93,88.28,2
Ignition Coil,1973.46,18.34,7.83,0
Gearbox Filter,40059.99,45.66,13.31,0
Ignition Coil,123837.12,34.86,6.55,2
Spark Plug,116466.3,30.57,6.26,2
CVT/AT Oil,50374.0,31.87,23.03,2
Front Brake Pad,60072.55,30.43,2.67,2
Ignition Coil,75007.56,7.86,1.19,0
Spark Plug,10543.96,49.18,4.35,2
CVT/AT Oil,45471.49,28.63,84.49,2
Ignition Coil,46226.43,48.2,8.34,2
Gearbox Filter,32854.11,7.22,70.74,2
Gearbox,5548.92,4.04,29.7,0
Spark Plug,117530.38,33.44,6.13,2
Front Brake Pad,59866.2,15.34,2.99,2
Front Brake Pad,53041.53,10.67,4.91,2
Ignition Coil,172759.5,68.37,6.65,2
CVT/AT Oil,53761.7,22.39,2.12,2
Gearbox Filter,74372.69,19.25,29.14,2
Spark Plug,47940.78,70.99,0.76,2
Gearbox,3458.26,4.23,50.49,0
Spark Plug,28523.85,5.85,4.7,0
Spark Plug,33518.18,67.06,5.13,2
Gearbox Filter,61773.5,15.29,90.05,2
Ignition Coil,149392.35,16.68,9.87,2
Gearbox,10544.48,1.64,54.89,2
Rear Brake Pad,70520.04,31.05,1.04,2
Gearbox,5836.85,5.02,51.91,0
Rear Brake Pad,80026.71,36.48,2.25,2
Front Brake Pad,51374.96,17.37,8.46,2
Rear Brake Pad,87134.23,43.14,1.23,2
Spark Plug,65643.38,3.84,2.99,0
Front Brake Pad,30955.83,25.09,8.98,2
Gearbox,10143.51,3.07,48.92,2
Ignition Coil,159006.29,17.32,4.07,2
Rear Brake Pad,55908.01,0.19,8.38,1
Rear Brake Pad,34341.69,39.96,5.65,2
Rear Brake Pad,72354.92,43.2,8.42,2
Ignition Coil,123453.81,1.93,2.59,2
Ignition Coil,128257.56,39.73,4.04,2
CVT/AT Oil,50300.27,30.0,82.8,2
Gearbox,1428.79,1.07,70.48,2
Gearbox Filter,35366.29,61.3,95.16,2
Ignition Coil,98421.68,80.31,4.07,2
Spark Plug,14581.34,58.32,3.61,2
Spark Plug,36191.59,44.12,0.32,0
Gearbox,8223.06,8.58,16.23,2
Rear Brake Pad,75777.49,25.05,6.85,2
Spark Plug,67777.53,61.99,6.16,2
Rear Brake Pad,30197.49,18.22,1.11,2
Rear Brake Pad,38882.23,43.65,2.37,2
CVT/AT Oil,35632.31,10.16,106.56,0
Front Brake Pad,18635.07,15.97,0.78,2
Rear Brake Pad,3310.0,48.83,1.15,2
Gearbox Filter,82568.33,48.95,85.16,2
Gearbox,7524.45,0.21,31.99,0
Gearbox Filter,57559.84,47.79,43.49,1
Rear Brake Pad,77674.9,28.38,4.76,2
Gearbox Filter,80978.37,24.2,30.9,2
Gearbox,11383.68,2.39,13.6,2
Front Brake Pad,14517.32,23.62,3.47,1
Spark Plug,113994.6,58.01,2.83,2
CVT/AT Oil,38152.47,50.64,15.42,2
Front Brake Pad,26035.88,32.53,2.15,2
Gearbox Filter,71906.84,26.08,22.83,2
Rear Brake Pad,28923.3,2.02,8.26,0
Rear Brake Pad,26402.05,44.23,0.63,2
Rear Brake Pad,54166.62,30.94,4.13,0
Ignition Coil,87401.92,37.03,5.02,0
Ignition Coil,50683.37,8.38,1.74,0
Front Brake Pad,21576.24,13.72,5.52,0
Front Brake Pad,51845.84,30.1,1.1,2
Front Brake Pad,34063.36,31.88,7.98,2
Ignition Coil,18030.48,38.06,4.84,0
Gearbox,4292.79,2.27,34.31,0
Gearbox Filter,6656.69,12.6,93.42,2
Ignition Coil,9785.91,18.2,5.47,0
Spark Plug,35856.37,61.8,7.49,2
CVT/AT Oil,54827.78,11.65,5.23,2
Front Brake Pad,38763.25,29.99,6.19,2
Gearbox Filter,2563.54,63.66,78.56,2
Spark Plug,108658.74,2.66,1.65,2
Rear Brake Pad,10426.24,31.25,3.28,0
Gearbox Filter,14781.7,17.05,52.77,0
Gearbox,4233.43,7.32,10.66,2
Gearbox,10939.0,2.96,58.81,2
Spark Plug,20786.21,20.57,6.49,2
Gearbox,3916.91,3.01,41.78,0
Gearbox,2695.4,8.73,49.65,2
CVT/AT Oil,29730.55,5.76,41.47,0
Rear Brake Pad,29949.35,20.63,5.35,0
Rear Brake Pad,23029.46,10.63,0.14,2
Gearbox,10343.47,3.68,18.55,2
Spark Plug,78247.19,9.7,3.89,1
Gearbox Filter,28026.51,8.72,90.79,2
CVT/AT Oil,3595.6,1.01,116.87,0
Gearbox Filter,17327.69,53.65,13.34,2
Front Brake Pad,8773.0,17.88,3.67,0
Gearbox Filter,42770.47,32.35,74.4,2
Ignition Coil,158207.98,90.01,11.15,2
Rear Brake Pad,29010.0,23.65,2.77,2
CVT/AT Oil,59665.86,2.07,19.47,2
Rear Brake Pad,3850.49,13.18,1.03,2
Gearbox,550.26,3.86,67.9,2
Spark Plug,47915.91,36.57,6.08,2
Rear Brake Pad,7616.45,50.99,4.66,2
Rear Brake Pad,10062.03,30.53,2.24,2
Rear Brake Pad,40275.81,35.76,6.36,1
CVT/AT Oil,614.03,1.2,1.0,2
Rear Brake Pad,86805.86,8.17,0.16,2
Rear Brake Pad,27540.55,6.88,4.91,0
Ignition Coil,69140.68,23.68,3.66,0
Spark Plug,85782.72,52.42,5.0,2
Gearbox,13051.58,5.21,38.69,2
Gearbox,6345.54,7.62,60.32,2
CVT/AT Oil,10973.63,25.39,104.64,0
Rear Brake Pad,6113.32,36.35,8.97,2
Spark Plug,21256.25,26.18,2.8,0
Gearbox Filter,89533.17,8.26,76.23,2
Gearbox Filter,64391.13,50.57,101.53,2
Rear Brake Pad,84677.72,10.47,1.46,2
Rear Brake Pad,46399.23,30.76,1.99,2
Gearbox,8556.87,0.83,38.72,0
CVT/AT Oil,26181.07,42.66,98.15,2
Gearbox Filter,11756.2,17.44,25.55,0
Front Brake Pad,2845.15,16.35,7.21,0
Ignition Coil,179836.34,90.62,8.88,2
Rear Brake Pad,52982.01,42.03,0.84,2
Spark Plug,11724.39,44.35,3.26,0
Rear Brake Pad,60359.7,53.03,0.57,2
Gearbox,458.53,8.73,83.22,2
Rear Brake Pad,32850.31,28.72,8.59,0
Gearbox,8452.06,1.08,47.88,0
Gearbox,11893.69,2.46,56.38,2
Spark Plug,1779.62,58.26,7.04,2
CVT/AT Oil,4876.75,1.13,75.45,0
Front Brake Pad,48354.91,16.36,4.27,2
Ignition Coil,112396.49,89.17,11.24,2
Spark Plug,106373.4,19.8,1.04,2
Gearbox,7359.15,1.95,15.28,0
Rear Brake Pad,10698.4,45.88,8.63,2
Gearbox,4468.14,5.04,35.82,0
Gearbox Filter,31503.5,31.97,6.75,0
Spark Plug,40435.77,21.3,0.5,0
Gearbox,8410.68,7.36,62.27,2
CVT/AT Oil,58492.35,36.78,50.09,2
Rear Brake Pad,86158.52,53.76,6.57,2
Rear Brake Pad,38689.45,0.6,8.34,0
Gearbox Filter,64967.78,63.64,64.66,2
Ignition Coil,178053.15,94.4,11.97,2
Gearbox,3643.29,6.61,61.76,2
Gearbox Filter,8859.38,70.52,31.08,2
Ignition Coil,81079.38,34.94,10.28,2
Rear Brake Pad,21484.32,37.25,5.09,2
Rear Brake Pad,39600.57,20.48,6.94,0
Ignition Coil,74892.64,10.09,5.81,0
Front Brake Pad,18745.81,6.76,2.35,2
Front Brake Pad,62411.35,29.75,3.01,2
Gearbox Filter,29458.19,9.8,16.42,0
Gearbox Filter,1775.89,8.46,88.66,2
CVT/AT Oil,50780.93,36.64,114.48,2
Rear Brake Pad,82243.33,52.26,7.62,2
Rear Brake Pad,53020.47,48.5,7.14,2
Gearbox,13166.38,0.9,23.2,2
Ignition Coil,44297.84,73.35,10.48,2
Spark Plug,74711.26,11.39,6.45,2
Front Brake Pad,1911.89,25.03,7.27,2
Gearbox,2127.43,0.03,47.89,0
Front Brake Pad,26441.62,21.21,2.48,2
Gearbox Filter,37060.9,1.38,3.58,0
CVT/AT Oil,9335.42,51.84,4.53,2
Rear Brake Pad,418.0,47.18,2.77,2
Front Brake Pad,4770.29,19.48,8.03,0
CVT/AT Oil,14539.79,41.78,63.44,2
Spark Plug,15281.85,65.12,3.94,2
Rear Brake Pad,88132.35,51.83,2.96,2
Rear Brake Pad,20228.77,47.21,2.37,2
Spark Plug,8721.88,60.24,1.31,2
Front Brake Pad,22207.21,25.4,6.08,2
Gearbox Filter,87681.83,31.64,6.35,2
Gearbox,393.85,3.39,62.63,2
Ignition Coil,90431.74,36.58,9.08,2
Rear Brake Pad,19508.75,2.64,2.63,2
Gearbox,12766.38,5.01,18.62,2
Ignition Coil,115664.38,49.47,9.51,2
Front Brake Pad,49034.79,3.44,3.56,2
CVT/AT Oil,48507.62,8.64,33.33,2
Ignition Coil,94172.95,97.11,8.72,2
Front Brake Pad,34416.5,29.19,3.93,2
Ignition Coil,3118.67,62.09,2.55,0
CVT/AT Oil,34722.04,34.93,111.67,0
Ignition Coil,121361.66,43.35,6.74,2
Rear Brake Pad,29073.92,25.04,3.74,0
CVT/AT Oil,14753.88,25.74,110.46,0
Gearbox,2840.34,4.93,2.16,0
Front Brake Pad,39211.69,22.52,0.47,2
Ignition Coil,36272.54,87.22,0.65,2
Spark Plug,67942.32,44.07,4.12,0
Spark Plug,76102.81,55.62,2.44,2
CVT/AT Oil,36988.76,10.07,21.27,2
Ignition Coil,161991.25,5.38,4.2,2
Ignition Coil,47155.6,105.78,9.57,2
CVT/AT Oil,41217.36,15.62,101.96,2
CVT/AT Oil,25593.17,10.04,13.33,2
Rear Brake Pad,83916.49,38.18,8.06,2
Ignition Coil,13791.57,51.09,9.62,2
Front Brake Pad,56519.6,31.59,2.7,2
Gearbox Filter,53547.15,70.12,34.39,2
CVT/AT Oil,13586.63,31.28,69.44,0
Front Brake Pad,41403.85,9.81,2.47,2
Spark Plug,13686.04,25.03,5.72,2
Ignition Coil,144815.87,66.47,1.21,2
Ignition Coil,172954.0,72.38,2.1,2
Spark Plug,54378.81,11.25,7.18,2
Spark Plug,88406.69,49.69,3.18,2
Rear Brake Pad,12422.48,36.36,5.37,2
Spark Plug,38883.35,37.4,5.87,2
Front Brake Pad,10393.27,13.57,5.65,0
CVT/AT Oil,14791.28,43.37,73.45,2
Front Brake Pad,50841.91,19.92,3.26,2
Front Brake Pad,5073.2,12.51,5.53,0
Spark Plug,79725.05,49.04,0.28,2
Rear Brake Pad,46205.46,43.72,4.98,2
Gearbox Filter,80128.3,39.6,43.41,2
Spark Plug,98771.47,66.52,4.79,2
Rear Brake Pad,45923.64,23.42,5.34,0
Ignition Coil,46173.68,5.76,11.58,2
Gearbox,6745.2,7.25,14.55,2
Gearbox Filter,61155.72,22.72,83.21,2
Gearbox Filter,59276.03,70.23,91.58,2
Rear Brake Pad,80840.12,31.39,3.17,2
Gearbox,10774.09,2.38,55.92,2
CVT/AT Oil,58992.96,34.29,53.14,2
Ignition Coil,895.05,73.21,6.6,2
Front Brake Pad,5080.88,2.64,1.76,2
Front Brake Pad,22687.32,13.65,4.19,0
Gearbox,1235.29,4.95,24.41,0
Gearbox,3443.81,1.58,29.03,0
Spark Plug,56771.34,69.74,5.79,2
Front Brake Pad,35747.2,27.44,0.35,2
Rear Brake Pad,4767.56,46.2,8.35,2
Gearbox,13198.58,4.6,7.41,2
Rear Brake Pad,18847.78,52.38,6.01,2
Spark Plug,25514.97,26.98,0.06,0
Spark Plug,71496.9,22.65,4.21,0
Rear Brake Pad,26952.0,53.47,5.69,2
Rear Brake Pad,68705.16,5.39,6.99,2
Gearbox,1027.61,1.52,71.22,2
Spark Plug,14310.02,66.53,0.58,2
Gearbox Filter,86466.61,2.94,8.19,2
Front Brake Pad,50004.63,21.65,6.04,2
Rear Brake Pad,58178.75,11.66,6.56,1
Gearbox,6267.84,2.63,68.86,2
Ignition Coil,140430.15,36.61,4.56,2
Spark Plug,51294.06,29.54,7.41,2
Ignition Coil,37768.78,106.04,8.42,2
CVT/AT Oil,35950.54,5.17,45.95,0
CVT/AT Oil,35370.32,18.6,75.08,0
Rear Brake Pad,89026.13,47.99,2.95,2
Gearbox,10042.21,0.15,73.81,2
Rear Brake Pad,31609.77,16.95,6.16,0
Rear Brake Pad,1114.95,21.57,4.14,0
Rear Brake Pad,87305.16,23.31,8.72,2
Ignition Coil,1476.13,69.28,0.82,0
Front Brake Pad,39035.76,25.22,5.89,2
Gearbox Filter,55167.96,70.97,92.65,2
Gearbox,2673.52,6.2,74.78,2
Rear Brake Pad,62350.34,10.8,8.76,2
Gearbox Filter,76128.02,68.07,90.79,2
Ignition Coil,146165.99,16.84,9.48,2
Spark Plug,6214.01,65.96,6.81,2
CVT/AT Oil,15160.78,17.67,64.45,0
Gearbox,5903.67,4.35,71.12,2
Ignition Coil,139469.0,36.43,7.6,2
Rear Brake Pad,7004.11,26.86,1.33,2
Spark Plug,42653.94,20.27,6.31,2
Gearbox Filter,76453.02,68.51,59.63,2
Spark Plug,90111.41,4.6,5.36,2
Spark Plug,74989.95,1.06,5.61,2
Spark Plug,60090.63,35.25,3.42,0
Spark Plug,1892.93,59.33,6.59,2
Spark Plug,81929.26,67.73,4.98,2
Gearbox,1925.41,3.44,52.69,0
Spark Plug,445.93,18.76,4.04,0
Spark Plug,63367.01,29.61,2.02,0
Gearbox,2846.8,1.68,51.89,0
CVT/AT Oil,58264.35,52.88,78.59,2
Rear Brake Pad,24308.62,21.19,3.61,0
Spark Plug,12135.02,8.08,4.3,0
Spark Plug,82864.63,39.35,5.26,2
Gearbox Filter,13540.37,33.55,71.3,2
Spark Plug,53078.93,40.06,3.88,0
Front Brake Pad,43599.37,35.49,0.44,2
Gearbox,6365.46,0.14,28.65,0
Rear Brake Pad,43501.89,17.91,1.63,2
Front Brake Pad,17902.86,4.66,4.6,0
Gearbox Filter,20877.16,8.72,0.64,0
Spark Plug,99152.31,3.06,3.15,2
Gearbox,13152.88,7.04,1.39,2
Gearbox Filter,71208.38,40.3,37.62,2
Spark Plug,56229.58,30.59,2.17,0
Rear Brake Pad,83393.99,43.06,5.79,2
CVT/AT Oil,17756.22,13.22,26.12,2
CVT/AT Oil,19602.55,40.86,54.47,2
Front Brake Pad,45914.4,10.52,2.97,2
CVT/AT Oil,32762.76,21.65,51.7,0
Front Brake Pad,18365.68,3.18,7.47,0
Front Brake Pad,25891.73,0.57,4.12,0
CVT/AT Oil,12691.72,21.25,7.7,2
Spark Plug,69813.67,23.29,3.87,0
Front Brake Pad,22674.18,4.83,0.67,2
Ignition Coil,53843.45,67.68,9.86,2
Rear Brake Pad,75606.94,43.56,0.15,2
Gearbox Filter,58941.48,27.05,103.16,2
Rear Brake Pad,42139.58,13.53,0.72,2
Ignition Coil,57843.42,106.87,1.89,2
Gearbox Filter,32437.06,71.2,82.21,2
Ignition Coil,157034.37,68.4,10.69,2
Gearbox Filter,75798.91,46.67,42.42,2
Rear Brake Pad,82395.08,44.74,8.83,2
Gearbox Filter,55448.87,13.61,20.15,1
Spark Plug,39968.8,40.7,3.03,0
Gearbox,8702.65,5.96,64.9,2
Rear Brake Pad,4453.65,48.02,5.99,2
Front Brake Pad,63844.5,7.84,2.31,2
Gearbox Filter,71936.1,22.06,49.35,2
Rear Brake Pad,77501.72,26.27,1.21,2
CVT/AT Oil,6881.36,53.55,36.3,2
Ignition Coil,122933.6,68.84,10.58,2
Front Brake Pad,51025.1,13.77,3.7,2
Spark Plug,108263.29,27.77,5.84,2
Ignition Coil,51328.63,97.27,1.57,2
Front Brake Pad,65294.04,29.21,0.99,2
CVT/AT Oil,30223.96,8.74,44.32,0
Gearbox Filter,48747.74,27.92,10.61,0
Gearbox Filter,7692.01,27.45,88.41,2
Front Brake Pad,14613.11,9.49,1.88,2
CVT/AT Oil,56875.02,38.71,105.78,2
Ignition Coil,70357.65,9.69,7.51,0
Ignition Coil,5662.3,75.11,5.26,2
Rear Brake Pad,72149.2,35.07,4.21,2
CVT/AT Oil,28245.61,20.98,98.48,0
CVT/AT Oil,36218.67,48.36,103.95,2
Gearbox,2279.89,1.57,9.04,0
Front Brake Pad,18812.75,32.74,5.84,2
Front Brake Pad,55783.01,20.75,7.87,2
Gearbox,11031.21,7.74,84.66,2
CVT/AT Oil,25179.23,5.22,4.8,2
Front Brake Pad,61739.89,20.7,6.64,2
Ignition Coil,5194.42,6.93,6.46,0
Gearbox,2472.85,1.57,75.84,2
Rear Brake Pad,64322.26,30.66,8.79,2
Gearbox,11459.96,8.93,31.09,2
Rear Brake Pad,61566.38,4.6,2.2,2
Ignition Coil,71028.89,19.42,3.42,0
Spark Plug,113025.01,61.19,6.34,2
Spark Plug,941.39,38.82,5.95,2
CVT/AT Oil,43131.84,47.31,52.21,2
CVT/AT Oil,26750.98,18.72,100.31,0
Spark Plug,19116.9,34.84,1.64,0
Ignition Coil,16969.68,62.95,0.62,0
Front Brake Pad,44537.4,25.96,1.36,2
Gearbox Filter,15033.61,16.04,13.45,0
Rear Brake Pad,35770.85,11.36,4.69,0
Gearbox,12691.0,5.56,67.65,2
Rear Brake Pad,38448.27,31.94,6.61,0
Front Brake Pad,37792.32,25.04,1.07,2
Rear Brake Pad,13571.35,45.14,8.42,2
CVT/AT Oil,43975.34,5.87,90.25,2
Spark Plug,86595.56,10.14,6.58,2
Ignition Coil,85738.7,5.4,7.32,0
Front Brake Pad,21365.65,23.05,3.93,1
Gearbox Filter,10987.69,8.11,7.59,0
Spark Plug,63007.66,6.0,6.28,2
Gearbox Filter,7620.85,65.07,95.25,2
Spark Plug,60883.86,52.87,0.91,2
Spark Plug,68364.94,22.04,1.63,0
CVT/AT Oil,33576.9,36.99,115.65,2
Ignition Coil,84250.96,25.17,7.06,0
CVT/AT Oil,5008.32,0.3,3.58,2
Front Brake Pad,32936.48,6.72,8.05,0
Ignition Coil,92945.94,10.24,3.86,0
Gearbox,5578.44,0.25,12.34,0
Gearbox,12029.19,6.54,71.4,2
Gearbox Filter,33598.39,62.97,22.4,2
Spark Plug,18088.44,44.68,3.15,0
Gearbox Filter,39002.01,19.92,102.34,2
Gearbox,14028.75,2.69,32.32,2
